query,network_distribution,runtime
q46-v1.4,D,71.39403767
q46-v1.4,D,78.182996527
q46-v1.4,D,78.86410698200002
q46-v1.4,D,81.594802658
q46-v1.4,D,87.216879963
q46-v1.4,D,93.220406434
q46-v1.4,D,83.12029160999998
q46-v1.4,D,69.146199577
q46-v1.4,D,75.375240587
q46-v1.4,D,72.09407387799997
q46-v1.4,D,77.277234375
q46-v1.4,D,78.822253117
q46-v1.4,D,72.92178933399998
q46-v1.4,D,74.25033238699999
q46-v1.4,D,85.44527769799998
q46-v1.4,D,81.80914956000002
q46-v1.4,D,70.351925572
q46-v1.4,D,80.323074323
q46-v1.4,D,83.71481205299999
q46-v1.4,D,81.30095494600002
q46-v1.4,D,78.405965223
q46-v1.4,D,76.590317726
q46-v1.4,D,87.62439970999999
q46-v1.4,D,89.86482162
q46-v1.4,D,85.35996761999999
q46-v1.4,D,82.368748374
q46-v1.4,D,74.34338654400001
q46-v1.4,D,78.30336942299999
q46-v1.4,D,84.717100718
q46-v1.4,D,95.61017454999998
q46-v1.4,D,76.65712625799999
q46-v1.4,D,68.35834189299999
q46-v1.4,D,78.60787707499999
q46-v1.4,D,85.43544610699999
q46-v1.4,D,69.60246866500002
q46-v1.4,E,26.640717636
q46-v1.4,E,21.240538933
q46-v1.4,E,19.874123102000002
q46-v1.4,E,19.366738662
q46-v1.4,E,20.906949847
q46-v1.4,E,18.284944534999998
q46-v1.4,E,20.610211897000003
q46-v1.4,E,21.445297222
q46-v1.4,E,30.647700809000003
q46-v1.4,E,20.509041415000002
q46-v1.4,E,20.004130567
q46-v1.4,E,19.10111065
q46-v1.4,E,20.013404840000003
q46-v1.4,E,19.580333608
q46-v1.4,E,20.345720505000006
q46-v1.4,E,20.258678091999997
q46-v1.4,E,21.426668915999997
q46-v1.4,E,21.945170576999995
q46-v1.4,E,22.083684385000005
q46-v1.4,E,23.211116087
q46-v1.4,E,20.754500704999998
q46-v1.4,E,18.912652985
q46-v1.4,E,20.476511987
q46-v1.4,E,19.802679389000005
q46-v1.4,E,20.965812449999998
q46-v1.4,E,19.59468358
q46-v1.4,E,19.749904883000003
q46-v1.4,E,20.666804397000003
q46-v1.4,E,21.112291331000005
q46-v1.4,E,21.588319653
q46-v1.4,E,19.975684666
q46-v1.4,E,20.988667048
q46-v1.4,E,20.450743228
q46-v1.4,E,20.176332753000004
q46-v1.4,E,20.070933698999994
q46-v1.4,E,21.099693025
q46-v1.4,E,21.631062936
q46-v1.4,E,20.514093103000004
q46-v1.4,E,19.796284044999997
q46-v1.4,E,22.315262763000007
q46-v1.4,E,19.927600329
q46-v1.4,E,20.401831514
q46-v1.4,E,20.026492341
q46-v1.4,E,20.084179012000003
q46-v1.4,E,20.02617084
q46-v1.4,E,19.898596057
q46-v1.4,E,19.525866516999997
q46-v1.4,E,20.556442604
q46-v1.4,E,20.232416791
q46-v1.4,E,19.9325586
q46-v1.4,F,26.942971283000002
q46-v1.4,F,23.70160023
q46-v1.4,F,30.037071001
q46-v1.4,F,23.421579149
q46-v1.4,F,21.422829890000006
q46-v1.4,F,23.903069779000003
q46-v1.4,F,31.782460999999998
q46-v1.4,F,23.564567887000003
q46-v1.4,F,26.745360559
q46-v1.4,F,25.248465352
q46-v1.4,F,26.150140826999998
q46-v1.4,F,21.54644558899999
q46-v1.4,F,28.334093767000002
q46-v1.4,F,25.867698568000005
q46-v1.4,F,27.156823122000002
q46-v1.4,F,33.386233074
q46-v1.4,F,27.107545206999998
q46-v1.4,F,26.802337310000002
q46-v1.4,F,22.60937355
q46-v1.4,F,25.566425196
q46-v1.4,F,28.574888552
q46-v1.4,F,25.708151917000002
q46-v1.4,F,25.638245543
q46-v1.4,F,26.403914450000006
q46-v1.4,F,25.965938227
q46-v1.4,F,26.331291525
q46-v1.4,F,22.745392522
q46-v1.4,F,26.937645748999998
q46-v1.4,F,26.117470473
q46-v1.4,F,23.502160697
q46-v1.4,F,25.842780336
q46-v1.4,F,23.243091552000003
q46-v1.4,F,28.487443676999998
q46-v1.4,F,26.847148537000002
q46-v1.4,F,23.996726080000002
q46-v1.4,F,23.715705504000002
q46-v1.4,F,23.282541732999995
q46-v1.4,F,23.355721367
q46-v1.4,F,26.148347517999998
q46-v1.4,F,27.522920812
q46-v1.4,F,22.286516182
q46-v1.4,F,25.724193248
q46-v1.4,F,27.301387945
q46-v1.4,F,26.342903708999998
q46-v1.4,F,31.278394657
